species,tree,branch,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,no_twigs,no_spurs,no_scars,stem_m,tot_stem_mO,tot_stem_m,twig_m,leaf_m,flower_m,length_ratio,diameter_ratio,mass_ratio
apple,10,9,78,7,2,,,,131,16.3,,18,1,14,344.7,,344.7,149.5,,,1.955,0.272,0.223
apple,10,10,78,7,1,,,,25,49.4,,4,0,7,416.1,,832.2,201.2,,,0.373,0.823,0.27
apple,10,11,78,7,2,,,,38,20.4,,13,2,11,254.2,,254.2,118.7,,,0.567,0.34,0.165
apple,10,12,78,10,1,,,,28,46,,0,1,14,375.1,,750.2,0.4,,,1.12,0.931,0.901
apple,10,13,78,12,2,,,,97,12.8,,17,1,13,134.9,,134.9,70.5,,,3.464,0.278,0.36
apple,10,14,78,12,1,,,,129,37.2,,19,1,22,744.1,,744.1,516.7,,,4.607,0.809,1.984
apple,11,1,78,0,1,,,,86.5,87.5,,0,0,5,3786.5,,26505.5,0,,,NA,NA,NA
apple,11,2,78,1,2,,,,176.5,43.1,,22,4,30,1464.2,,1464.2,1037.1,,,2.04,0.493,0.387
apple,11,3,78,1,2,,,,107,31.4,,12,0,13,497,,497,310.9,,,1.237,0.359,0.131
apple,11,4,78,1,2,,,,82.5,33,,10,0,11,337,,337,271.6,,,0.954,0.377,0.089
apple,11,5,78,1,2,,,,158,28.5,,25,0,19,544.7,,544.7,266.4,,,1.827,0.326,0.144
apple,11,6,78,1,1,,,,50,63.4,,2,2,21,932.7,,2798.1,122,,,0.578,0.725,0.246
apple,11,7,78,6,2,,,,132,24,,26,3,17,484.4,,484.4,298.1,,,2.64,0.379,0.519
apple,11,8,78,6,1,,,,50.5,45.2,,2,0,11,567.3,,1134.6,187.7,,,1.01,0.713,0.608
apple,11,9,78,8,2,,,,89,18.7,,16,0,13,152.4,,152.4,112.4,,,1.762,0.414,0.269
apple,11,10,78,8,1,,,,157,31.6,,18,3,31,815.4,,815.4,617.2,,,3.109,0.699,1.437
apple,11,11,78,4,3,,,,43,19.3,,3,2,7,88.7,,88.7,114.4,,,0.521,0.585,0.263
apple,12,1,80,0,1,,,,56,55.3,,1,0,4,895.8,,3583.2,74.8,,,NA,NA,NA
apple,12,2,80,1,2,,,,55,34.2,,6,0,15,349.5,,349.5,346.3,,,0.982,0.618,0.39
apple,12,3,80,2,3,,,,71,21.5,,8,0,17,139.7,,139.7,68.4,,,1.291,0.629,0.4
apple,12,4,80,1,1,,,,30,37.1,,2,0,5,198,,594,7.5,,,0.536,0.671,0.221
apple,12,5,80,4,2,,,,81,18.4,,5,1,18,110.2,,110.2,49.5,,,2.7,0.496,0.557
apple,12,6,80,4,2,,,,56,18.2,,6,0,11,77.1,,77.1,75.1,,,1.867,0.491,0.389
apple,12,7,80,4,1,,,,129,26.8,,11,8,24,344.2,,344.2,281.5,,,4.3,0.722,1.738
apple,13,1,,0,1,340,,55,76,135,,5,0,2,7484.6,,119753.6,,,,NA,NA,NA
apple,13,2,,1,2,60,,15,105,46.7,,11,2,20,1134.7,,1134.7,528.3,,,1.382,0.346,0.152
apple,13,3,,2,3,100,,25,116.5,24.1,,11,18,14,288,,288,86.2,,,1.11,0.516,0.254
apple,13,4,,1,2,330,,0,113,39.2,,19,3,23,919.8,,919.8,403.6,,,1.487,0.29,0.123
apple,13,5,,1,2,230,,30,58,40.8,,6,3,19,679.8,,679.8,,,,0.763,0.302,0.091
apple,13,6,,1,2,140,,15,137,58.6,,14,6,29,2363.9,,2363.9,1151.1,,,1.803,0.434,0.316
apple,13,7,,6,3,160,,-35,40,40.8,,11,4,6,361.1,,361.1,466.8,,,0.292,0.696,0.153
apple,13,8,,1,1,0,,90,62,107.9,,6,1,18,2844.7,,34136.4,283.2,,,0.816,0.799,0.38
apple,13,9,,8,2,0,,5,121,28.9,,18,8,17,430.4,,430.4,177.7,,,1.952,0.268,0.151
apple,13,10,,8,1,0,,90,22,97.2,,2,3,5,1044,,11484,287.1,,,0.355,0.901,0.367
apple,13,11,,10,2,60,,10,44,39.6,,5,1,6,414.9,,414.9,115.2,,,2,0.407,0.397
apple,13,12,,10,3,330,,45,72,20.9,,17,3,3,183.1,,183.1,,,,3.273,0.215,0.175
apple,13,13,,11,2,50,,-25,76,33.4,,14,3,12,415.8,,415.8,461.4,,,1.727,0.843,1.002
apple,13,14,,10,1,220,,65,38,88,,2,1,11,1325.7,,11931.3,,,,1.727,0.905,1.27
apple,13,15,,14,2,20,,10,136,32.8,,14,6,18,635.1,,635.1,,,,3.579,0.373,0.479
apple,13,16,,14,2,170,,10,119,17.1,,8,15,9,169.9,,169.9,0.6,,,3.132,0.194,0.128
apple,13,17,,14,2,200,,25,47,21.1,,4,0,9,105.3,,105.3,,,,1.237,0.24,0.079
apple,13,18,,14,1,0,,90,18,72,,0,0,2,515.1,,3090.6,,,,0.474,0.818,0.389
apple,13,19,,18,2,330,,15,57,25.5,,8,2,13,180.9,,180.9,,,,3.167,0.354,0.351
apple,13,20,,18,1,0,,90,39,74.9,,2,0,4,976.6,,4883,,,,2.167,1.04,1.896
apple,13,21,,20,2,340,,0,88,27.2,,14,5,10,290.5,,290.5,38.6,,,2.256,0.363,0.297
apple,13,22,,20,1,0,,90,21,65.5,,1,2,6,497.8,,1991.2,434.9,,,0.538,0.874,0.51
apple,13,23,,22,2,220,,15,17,28.8,,1,0,5,74.1,,74.1,,,,0.81,0.44,0.149
apple,13,24,,22,2,310,,40,76,20.2,,7,0,16,144,,144,,,,3.619,0.308,0.289
apple,13,25,,22,2,140,,25,75,30.1,,18,0,6,314.4,,314.4,,,,3.571,0.46,0.632
apple,13,26,,22,1,220,,60,40,52.6,,0,2,13,626.3,,626.3,83.6,,,1.905,0.803,1.258
